"MPRL table v3.0"
"TableName";;"RHS"
"TableID";"08a6f5f1-45bc-4387-92d3-0108e03b2d46"
"TableType";"CrossSection"
"Group";"#LNG006"
"TableParam1";"RectangularHollow"
"TableParam2";""
"TableParam3";""
;;
"Header";"ElementID";"B";"D";"t";"r1";"Fabrication";"A";"ry";"rz";"Iy";"Iz";"Wely";"Welz";"Iyz";"It";"y0";"z0";"Wply";"Wplz";"Iw";"Avy";"Avz"
"Unit";;"mm";"mm";"mm";"mm";;"m2";"m";"m";"m4";"m4";"m3";"m3";"m4";"m4";"m";"m";"m3";"m3";"m6";"m2";"m2"
"UnitCoeff";;0,001;0,001;0,001;0,001;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Data"
"RHS200/120/12.5";"{0541643a-2464-4b6c-bcb6-ace367f02888}";120;200;12,5;18,75;1;0,00721;0,0704256919454234;0,0465449836850474;3,576E-05;1,562E-05;0,000358;0,00026;-2,35051642863068E-19;3,569E-05;0;0;0,0004466288125;0,000309859;9,6E-08;0,00270375;0,00450625
"RHS200/120/16.0";"{d4acf42a-3dc2-4472-8ff1-f2e25cd3e27f}";120;200;16;24;1;0,00894;0,0687130010264951;0,0450329235761632;4,221E-05;1,813E-05;0,000422;0,000302;1,84653182501437E-19;4,247E-05;0;0;0,00053679475;0,00037005503125;1,2288E-07;0,0033525;0,0055875
"RHS200/150/5.0";"{a374ef8e-e6ba-44d4-bd4b-6de80ca6514a}";150;200;5;7,5;1;0,00337;0,0764571600922821;0,0612675215657779;1,97E-05;1,265E-05;0,000197;0,000169;1,49077798716757E-19;2,386E-05;0;0;0,000232259;0,000190832015625;6,5625E-08;0,00144428571428571;0,00192571428571429
"RHS200/150/6.3";"{24ee7cef-b7cd-4b15-b09d-62f8fe8c55ad}";150;200;6,30000019073486;9,44999980926514;1;0,00421;0,0758170068475135;0,0606575215193022;2,42E-05;1,549E-05;0,000242;0,000207;1,18584612615602E-20;2,947E-05;0;0;0,0002869586875;0,000235521703125;8,26875025033951E-08;0,00180428571428571;0,00240571428571429
"RHS200/150/8.0";"{68ccc6fa-363a-4679-912b-f817f81f3922}";150;200;8;12;1;0,00528;0,0750126251999884;0,0598925806099655;2,971E-05;1,894E-05;0,000297;0,000253;2,03287907341032E-20;3,643E-05;0;0;0,0003550455;0,0002909924375;1,05E-07;0,00226285714285714;0,00301714285714286
"RHS200/150/10.0";"{62aeffc9-fc6d-4a4a-8b81-06892197ad6d}";150;200;10;15;1;0,00649;0,0741464008022375;0,0590630490207727;3,568E-05;2,264E-05;0,000357;0,000302;-4,74338450462408E-20;4,409E-05;0;0;0,0004302403125;0,000352032375;1,3125E-07;0,00278142857142857;0,00370857142857143
"RHS200/150/12.5";"{fcdcf8cc-3b0f-4f90-aac5-e584e48c2695}";150;200;12,5;18,75;1;0,00796;0,0729493525687583;0,0579485996466267;4,236E-05;2,673E-05;0,000424;0,000356;-1,3992984288641E-18;5,287E-05;0;0;0,0005169413125;0,0004220851875;1,640625E-07;0,00341142857142857;0,00454857142857143
"RHS200/150/16.0";"{d17c41e2-8232-4e73-bcb0-fd38632ee3d3}";150;200;16;24;1;0,0099;0,0713222874483754;0,0564255118172479;5,036E-05;3,152E-05;0,000504;0,00042;-3,54906804899552E-19;6,37E-05;0;0;0,00062511475;0,0005089024375;2,1E-07;0,00424285714285714;0,00565714285714286
"RHS250/100/6.3";"{9a7cc814-383b-436b-b281-773c842849aa}";100;250;6,30000019073486;9,44999980926514;1;0,00421;0,0872787327884041;0,0422356245484499;3,207E-05;7,51E-06;0,000257;0,00015;9,3173624197973E-21;1,983E-05;0;0;0,00032264565625;0,00016833471875;5,74218767384688E-08;0,00120285714285714;0,00300714285714286
"RHS250/100/8.0";"{7a166fab-4722-48bd-af5f-d7b17f5395e1}";100;250;8;12;1;0,00528;0,0863835702672749;0,0414920583858033;3,94E-05;9,09E-06;0,000315;0,000182;1,50771864611265E-19;2,43E-05;0;0;0,00039909859375;0,00020693934375;7,29166666666667E-08;0,00150857142857143;0,00377142857142857
