"MPRL table v3.0"
"TableName";;"CHS(cf)"
"TableID";"d650366d-00e6-48bb-8fce-d9af5d3d7387"
"TableType";"CrossSection"
"Group";"#LNG003"
"TableParam1";"CircularHollow"
"TableParam2";""
"TableParam3";""
;;
"Header";"ElementID";"D";"t";"Fabrication"
"Unit";;"mm";"mm";
"CHS(cf)813.0/25.0";"{44b11b32-3bf4-4246-90e9-370a6c00ec19}";813;25;3
"CHS(cf)813.0/30.0";"{faf40d0d-e137-4c80-ba7e-34306b464efd}";813;30;3
"CHS(cf)914.0/8.0";"{f5020a5c-807a-4724-b4d4-8d6f8c9bda35}";914;8;3
"CHS(cf)914.0/10.0";"{9be25750-17fd-4103-88f7-a1a64739cab9}";914;10;3
"CHS(cf)914.0/12.0";"{0b36cb5b-e1a2-4e7d-b4e4-cb83de8ce5e7}";914;12;3
"CHS(cf)914.0/12.5";"{11ba1b73-e976-41e2-a9cb-d8e45beef7dd}";914;12,5;3
"CHS(cf)914.0/16.0";"{1c038ffd-3c1f-49f1-88d0-3974df90a259}";914;16;3
"CHS(cf)914.0/20.0";"{8cc09a3e-947d-4fdf-85db-0803e86cce26}";914;20;3
"CHS(cf)914.0/25.0";"{e289f522-c2ba-4a9c-bf41-12497be55e00}";914;25;3
"CHS(cf)914.0/30.0";"{2ae9e0ee-6973-4961-9366-1b8d40c46ff2}";914;30;3
"CHS(cf)1016.0/8.0";"{c4cc4797-c6bb-4d34-8d5a-36af8db83b6e}";1016;8;3
"CHS(cf)1016.0/10.0";"{944fbde3-c638-4551-9842-4a3ddb777c47}";1016;10;3
"CHS(cf)1016.0/12.0";"{673aad76-0635-41a6-b9ba-edd8b0fd2710}";1016;12;3
"CHS(cf)1016.0/12.5";"{85135696-7f9b-4c4f-a567-ec64754e27a6}";1016;12,5;3
"CHS(cf)1016.0/16.0";"{6305afd6-2e77-4796-89fa-240344b6f871}";1016;16;3
"CHS(cf)1016.0/20.0";"{568cf669-2833-4b9f-a2ad-7c8798b31300}";1016;20;3
"CHS(cf)1016.0/25.0";"{3759281f-249a-454b-9c3c-56405a0e6cbb}";1016;25;3
"CHS(cf)1016.0/30.0";"{beecefc9-bf0a-48af-b90e-de6a010fc18c}";1016;30;3
"CHS(cf)1067.0/10.0";"{367faef0-d302-45a3-af62-7d4a93c1b8ac}";1067;10;3
"CHS(cf)1067.0/12.0";"{f085c087-9bdf-492b-ae4e-d834ea1d7909}";1067;12;3
"CHS(cf)1067.0/12.5";"{6236e429-5e55-4a42-a110-97383119a966}";1067;12,5;3
"CHS(cf)1067.0/16.0";"{5f1ae616-4792-4cfa-aa06-c83b2196accb}";1067;16;3
"CHS(cf)1067.0/20.0";"{1b9628e2-64c1-4582-a021-6136af387c04}";1067;20;3
"CHS(cf)1067.0/25.0";"{ec05eabf-52fd-4255-b514-002d5f44d0d6}";1067;25;3
"CHS(cf)1067.0/30.0";"{25998027-bb3e-4633-88d1-2e9ab14dc866}";1067;30;3
"CHS(cf)1168.0/10.0";"{bcf3aa5c-f411-4111-95e5-76f6fa2e37ed}";1168;10;3
"CHS(cf)1168.0/12.0";"{a0150bd5-e0c4-41d9-be8a-cb9448749acb}";1168;12;3
"CHS(cf)1168.0/12.5";"{9bf00846-d00a-4e22-be56-812b1f9fd271}";1168;12,5;3
"CHS(cf)1168.0/16.0";"{8ea1f5a4-af00-4231-8137-366fd0acae21}";1168;16;3
"CHS(cf)1168.0/20.0";"{cf3c1929-12b7-44a0-8c22-48fe1bb3a625}";1168;20;3
"CHS(cf)1168.0/25.0";"{e3276ce4-1f23-4245-93ca-1ba381978628}";1168;25;3
"CHS(cf)1219.0/10.0";"{472ce83f-e3c5-4cc2-8972-6910f4523740}";1219;10;3
"CHS(cf)1219.0/12.0";"{e338e5f6-340e-47c5-a078-22eb3b49f836}";1219;12;3
"CHS(cf)1219.0/12.5";"{40166a3a-556a-4086-bf8e-09335bedb02f}";1219;12,5;3
"CHS(cf)1219.0/16.0";"{adb53f19-3d13-40f8-87bf-b01e70b2f268}";1219;16;3
"CHS(cf)1219.0/20.0";"{64877984-0814-465a-a74f-4d5a550a9ba7}";1219;20;3
"CHS(cf)1219.0/25.0";"{56541b31-523c-4432-b65f-c3d4a28d2ac8}";1219;25;3
